,Nwosu et al. (2009),Critical pressure,"Liquid
Gas",,,,4,,,
,Scurto et al. (2002),Critical pressure,"Liquid mixture 1
Gas
Liquid mixture 2",,,,4,,,
,Ramdin et al. (2013),Critical pressure,"Liquid
Gas",,,,1,,,
,Ramdin et al. (2013),Critical pressure,"Liquid
Gas",,,,1,,,
