,Hagiwara et al. (2008),Eutectic composition,"Crystal of pure component 2
Crystal of intercomponent compound 1
Liquid",,,,1,,,
,Hagiwara et al. (2008),Eutectic composition,"Crystal of pure component 1
Crystal of pure component 2
Liquid",,,,1,,,
,Hagiwara et al. (2008),Eutectic composition,"Crystal of pure component 1
Crystal of intercomponent compound 1
Liquid",,,,1,,,
,Krolikowska (2014),Eutectic composition,"Liquid
Crystal of pure component 2
Crystal of pure component 1",,,,1,,,
,Krolikowska and Zawadzki (2018),Eutectic composition,"Liquid
Crystal of pure component 2
Crystal of intercomponent compound 1",,,,1,,,
,Kubota et al. (2010b),Eutectic composition,"Liquid
Crystal of pure component 2
Crystal of pure component 1",,,,1,,,
,Kubota et al. (2010b),Eutectic composition,"Liquid
Crystal of pure component 2
Crystal of pure component 1",,,,1,,,
,Kubota et al. (2010b),Eutectic composition,"Liquid
Crystal of pure component 2
Crystal of pure component 1",,,,1,,,
,Kubota et al. (2010b),Eutectic composition,"Liquid
Crystal of pure component 2
Crystal of pure component 1",,,,1,,,
,Kubota et al. (2010b),Eutectic composition,"Liquid
Crystal of pure component 2
Crystal of pure component 1",,,,1,,,
,Kubota et al. (2010b),Eutectic composition,"Liquid
Crystal of pure component 2
Crystal of pure component 1",,,,1,,,
,Kubota et al. (2010b),Eutectic composition,"Liquid
Crystal of pure component 1
Crystal of pure component 2",,,,1,,,
,Kubota et al. (2010b),Eutectic composition,"Liquid
Crystal of pure component 1
Crystal of pure component 2",,,,1,,,
,Kubota et al. (2010b),Eutectic composition,"Liquid
Crystal of pure component 1
Crystal of pure component 2",,,,1,,,
,Kubota et al. (2010b),Eutectic composition,"Liquid
Crystal of pure component 2
Crystal of pure component 1",,,,1,,,
,Stolarska et al. (2016),Eutectic composition,"Crystal of pure component 1
Crystal of pure component 2
Liquid",,,,1,,,
,Stolarska et al. (2016),Eutectic composition,"Crystal of pure component 1
Crystal of pure component 2
Liquid",,,,1,,,
,Stolarska et al. (2016),Eutectic composition,"Crystal of pure component 1
Crystal of pure component 2
Liquid",,,,1,,,
,Stolarska et al. (2016),Eutectic composition,"Crystal of pure component 1
Crystal of pure component 2
Liquid",,,,1,,,
,Stolarska et al. (2016),Eutectic composition,"Crystal of pure component 1
Crystal of pure component 2
Liquid",,,,1,,,
,Stolarska et al. (2018),Eutectic composition,"Crystal of pure component 1
Crystal of pure component 2
Liquid",,,,1,,,
,Stolarska et al. (2018),Eutectic composition,"Crystal of pure component 1
Crystal of pure component 2
Liquid",,,,1,,,
