0,1,lithium bis((trifluoromethyl)sulfonyl)amide,C2F6LiNO4S2,287.08,
1,2,cesium bis((trifluoromethyl)sulfonyl)amide,C2CsF6NO4S2,413.04,
0,1,lithium bis((trifluoromethyl)sulfonyl)amide,C2F6LiNO4S2,287.08,
1,2,potassium bis((trifluoromethyl)sulfonyl)amide,C2F6KNO4S2,319.23,
0,1,lithium bis((trifluoromethyl)sulfonyl)amide,C2F6LiNO4S2,287.08,
1,2,cesium bis((trifluoromethyl)sulfonyl)amide,C2CsF6NO4S2,413.04,
0,1,water,H2O,18.02,
1,2,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,C10H20F3NO3S,291.33,
0,1,tributylethylphosphonium diethylphosphate,C18H42O4P2,384.48,
1,2,water,H2O,18.02,
0,1,rubidium bis(fluorosulfonyl)amide,F2NO4RbS2,265.59,
1,2,sodium bis(fluorosulfonyl)amide,F2NNaO4S2,203.11,
0,1,potassium bis(fluorosulfonyl)amide,F2KNO4S2,219.22,
1,2,sodium bis(fluorosulfonyl)amide,F2NNaO4S2,203.11,
0,1,cesium bis(fluorosulfonyl)amide,CsF2NO4S2,313.03,
1,2,lithium bis(fluorosulfonyl)imide,F2LiNO4S2,187.06,
0,1,rubidium bis(fluorosulfonyl)amide,F2NO4RbS2,265.59,
1,2,lithium bis(fluorosulfonyl)imide,F2LiNO4S2,187.06,
0,1,potassium bis(fluorosulfonyl)amide,F2KNO4S2,219.22,
1,2,lithium bis(fluorosulfonyl)imide,F2LiNO4S2,187.06,
0,1,sodium bis(fluorosulfonyl)amide,F2NNaO4S2,203.11,
1,2,lithium bis(fluorosulfonyl)imide,F2LiNO4S2,187.06,
0,1,potassium bis(fluorosulfonyl)amide,F2KNO4S2,219.22,
1,2,cesium bis(fluorosulfonyl)amide,CsF2NO4S2,313.03,
0,1,potassium bis(fluorosulfonyl)amide,F2KNO4S2,219.22,
1,2,rubidium bis(fluorosulfonyl)amide,F2NO4RbS2,265.59,
0,1,rubidium bis(fluorosulfonyl)amide,F2NO4RbS2,265.59,
1,2,cesium bis(fluorosulfonyl)amide,CsF2NO4S2,313.03,
0,1,cesium bis(fluorosulfonyl)amide,CsF2NO4S2,313.03,
1,2,sodium bis(fluorosulfonyl)amide,F2NNaO4S2,203.11,
0,1,1-ethyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,C9H16F6N2O4S2,394.35,
1,2,1-butyl-1-methylpyrrolidinium tetrafluoroborate,C9H20BF4N,229.07,
0,1,1-butyl-1-methylpyrrolidinium bromide,C9H20BrN,222.17,
1,2,1-butyl-1-methylpyrrolidinium tetrafluoroborate,C9H20BF4N,229.07,
0,1,1-ethyl-1-methylpyrrolidinium tetrafluoroborate,C7H16BF4N,201.02,
1,2,1-ethyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,C9H16F6N2O4S2,394.35,
0,1,1-butyl-1-methylpyrrolidinium tetrafluoroborate,C9H20BF4N,229.07,
1,2,1-butyl-1-methylpyrrolidinium chloride,C9H20ClN,177.72,
0,1,1-butyl-1-methylpyrrolidinium bromide,C9H20BrN,222.17,
1,2,1-butyl-1-methylpyrrolidinium chloride,C9H20ClN,177.72,
0,1,1-butylpyridinium bromide,C9H14BrN,216.12,
1,2,1-ethylpyridinium bromide,C7H10BrN,188.07,
0,1,1-butylpyridinium chloride,C9H14ClN,171.67,
1,2,1-ethylpyridinium chloride,C7H10ClN,143.61,
