0,304.2,7460 ± 340
1,309.6,8380 ± 380
2,313.15,9180 ± 450
3,333.15,15350 ± 620
0,313.15,8182 ± 50
1,313.15,8201 ± 50
2,313.15,8215 ± 50
3,313.15,8216 ± 50
0,0.833,7382 ± 12
0,0.784,7379 ± 12
