0,0.75 ± 0.01
0,0.101 ± 0.01
0,0.021 ± 0.01
0,0.049 ± 0.01
0,0.033 ± 0.001
0,0.22 ± 0.002
0,0.27 ± 0.002
0,0.27 ± 0.002
0,0.076 ± 0.0011
0,0.0525 ± 0.0011
0,0.3235 ± 0.0025
0,0.0106 ± 0.001
0,0.3679 ± 0.0029
0,0.123 ± 0.01
0,0.198 ± 0.01
0,0.297 ± 0.01
0,0.167 ± 0.002
0,0.077 ± 0.002
0,0.121 ± 0.002
0,0.036 ± 0.01
0,0.167 ± 0.01
0,0.013 ± 0.01
0,0.061 ± 0.02
0,0.06 ± 0.01
0,0.108 ± 0.002
0,0.218 ± 0.003
0,0.161 ± 0.002
0,0.086 ± 0.002
0,0.955 ± 0.001
0,0.999 ± 0.001
0,0.976 ± 0.001
0,0.682 ± 0.003
0,0.576 ± 0.004
0,0.5798 ± 0.0033
0,0.6064 ± 0.003
0,0.7037 ± 0.0023
0,0.458 ± 0.0035
0,0.4364 ± 0.0034
0,0.5214 ± 0.0037
0,0.2829 ± 0.0022
0,0.2096 ± 0.0018
0,0.6 ± 0.04
0,0.67 ± 0.04
0,0.25 ± 0.04
0,0.6 ± 0.04
0,0.43 ± 0.04
0,0.07 ± 0.04
0,0.4067 ± 0.0032
0,100,0.0133 ± 0.0001
0,0.497 ± 0.02
0,0.438 ± 0.02
0,0.534 ± 0.02
0,0.619 ± 0.02
0,0.589 ± 0.02
0,0.598 ± 0.02
0,0.458 ± 0.02
0,0.693 ± 0.02
0,0.345 ± 0.02
0,0.53 ± 0.02
0,0.508 ± 0.011
0,0.556 ± 0.01
0,0.4 ± 0.01
0,0.447 ± 0.011
0,0.353 ± 0.01
0,0.48 ± 0.005
0,0.205 ± 0.002
